时尚潮人MUOUM	时尚潮人MUOUM	19796297	681	16797
田亮	田亮	13857901	178	1090
高圆圆	高圆圆	36145313	263	1023
范范范瑋琪	范范范瑋琪	42522284	374	3419
张韶涵	张韶涵	9836339	241	744
戚薇	戚薇	21224102	435	2210
林俊杰	林俊杰	23269038	353	3474
袁姗姗	袁姗姗	10410870	398	2040
潘石屹	潘石屹	16995377	91	20270
文章同學	文章同學	54237905	189	2212
陆亚萍	陆亚萍	42554595	460	3261
酱缸外的秦枫	酱缸外的秦枫	253	0	2
方圆正行	方圆正行	24609187	2346	639
鍾欣潼	鍾欣潼	17769141	509	3890
李嘉欣Michele	李嘉欣Michele	13292066	75	1153
李维嘉	李维嘉	12716247	222	3276
刘诗诗	刘诗诗	13971534	203	1111
赛琳娜Selina	赛琳娜Selina	9063985	70	912
佟大为	佟大为	15256276	479	2555
柳岩	柳岩	15993337	477	2828
梁詠琪	梁詠琪	11775615	379	4752
陳奕迅所長	陳奕迅所長	11060587	162	854
孙坚	孙坚	13534787	632	5001
吴奇隆TD	吴奇隆TD	36259437	661	2977
梁静茹	梁静茹	13994891	273	5434
洪晃ilook	洪晃ilook	9755155	874	16933
薛蛮子	薛蛮子	11513738	1986	86248
杨澜	杨澜	34893090	129	5131
韩庚	韩庚	42525014	139	937
黄圣依	黄圣依	25453419	179	202
马伊琍	马伊琍	35224505	186	4917
时尚生活撰稿人	时尚生活撰稿人	15954834	94	14496
伊能靜	伊能靜	11168811	771	3613
吳青峰	吳青峰	9691611	500	490
姚晨	姚晨	71382446	627	7278
时尚芭莎-艾琪儿	时尚芭莎-艾琪儿	23156451	470	9475
李开复	李开复	51188655	505	13880
任泉	任泉	10292060	559	2812
小沈阳	小沈阳	11895862	325	1516
百变美薇儿	百变美薇儿	12307912	89	3475
任志强	任志强	22054453	164	71777
周笔畅	周笔畅	15837026	219	1209
俞敏洪	俞敏洪	13385576	157	826
楊千嬅	楊千嬅	12139805	394	5363
蒋方舟	蒋方舟	7784727	819	1325
冯绍峰	冯绍峰	15302707	285	165
刘亦菲	刘亦菲	30900274	129	343
何炅	何炅	50163671	578	6394
